,precision,recall,f1-score,support
No Disease,0.9779005524861878,0.9619565217391305,0.9698630136986301,184.0
Bacterial Pneumonia,0.857566765578635,0.8601190476190477,0.8588410104011887,336.0
Viral Pneumonia,0.7049180327868853,0.712707182320442,0.7087912087912088,181.0
accuracy,0.8487874465049928,0.8487874465049928,0.8487874465049928,0.8487874465049928
macro avg,0.8467951169505694,0.8449275838928734,0.8458317442970092,701.0
weighted avg,0.8497379441174123,0.8487874465049928,0.8492390624915208,701.0
