,precision,recall,f1-score,support
No Disease,0.9888888888888889,0.967391304347826,0.978021978021978,184.0
Bacterial Pneumonia,0.8714733542319749,0.8273809523809523,0.8488549618320611,336.0
Viral Pneumonia,0.6831683168316832,0.7624309392265194,0.720626631853786,181.0
accuracy,0.8473609129814551,0.8473609129814551,0.8473609129814551,0.8473609129814551
macro avg,0.8478435199841824,0.8524010653184325,0.8491678572359417,701.0
weighted avg,0.8536719941854976,0.8473609129814551,0.849650116258419,701.0
