,precision,recall,f1-score,support
No Disease,0.9187817258883249,0.9836956521739131,0.9501312335958005,184.0
Bacterial Pneumonia,0.8590604026845637,0.7619047619047619,0.807570977917981,336.0
Viral Pneumonia,0.616504854368932,0.7016574585635359,0.6563307493540051,181.0
accuracy,0.8045649072753209,0.8045649072753209,0.8045649072753209,0.8045649072753209
macro avg,0.7981156609806068,0.8157526242140704,0.8046776536225956,701.0
weighted avg,0.8121077196950669,0.8045649072753209,0.8059398875822309,701.0
