,precision,recall,f1-score,support
No Disease,0.9826589595375722,0.9239130434782609,0.9523809523809523,184.0
Bacterial Pneumonia,0.8250728862973761,0.8422619047619048,0.833578792341679,336.0
Viral Pneumonia,0.6432432432432432,0.6574585635359116,0.6502732240437158,181.0
accuracy,0.8159771754636234,0.8159771754636234,0.8159771754636234,0.8159771754636234
macro avg,0.8169916963593972,0.8078778372586924,0.812077656255449,701.0
weighted avg,0.8194875397687,0.8159771754636234,0.8174322724918858,701.0
