,precision,recall,f1-score,support
No Disease,0.9526315789473684,0.9836956521739131,0.9679144385026738,184.0
Bacterial Pneumonia,0.8557692307692307,0.7946428571428571,0.8240740740740741,336.0
Viral Pneumonia,0.6482412060301508,0.712707182320442,0.6789473684210526,181.0
accuracy,0.8231098430813124,0.8231098430813124,0.8231098430813124,0.8231098430813124
macro avg,0.8188806719155833,0.8303485638790707,0.8236452936659334,701.0
weighted avg,0.827609601078794,0.8231098430813124,0.8243575167725984,701.0
