,precision,recall,f1-score,support
No Disease,0.9763313609467456,0.8967391304347826,0.9348441926345609,184.0
Bacterial Pneumonia,0.8668941979522184,0.7559523809523809,0.8076311605723371,336.0
Viral Pneumonia,0.5815899581589958,0.7679558011049724,0.6619047619047619,181.0
accuracy,0.7960057061340942,0.7960057061340942,0.7960057061340942,0.7960057061340942
macro avg,0.8082718390193199,0.8068824374973786,0.8014600383705534,701.0
weighted avg,0.8219532144834876,0.7960057061340942,0.8033953827415498,701.0
