,precision,recall,f1-score,support
No Disease,0.9456521739130435,0.9456521739130435,0.9456521739130435,184.0
Bacterial Pneumonia,0.8371335504885994,0.7648809523809523,0.7993779160186625,336.0
Viral Pneumonia,0.5857142857142857,0.6795580110497238,0.629156010230179,181.0
accuracy,0.7902995720399429,0.7902995720399429,0.7902995720399429,0.7902995720399429
macro avg,0.7895000033719762,0.7966970457812398,0.7913953667206283,701.0
weighted avg,0.8007006543201927,0.7902995720399429,0.7938205672381355,701.0
